source	target	weight	resources
POU1F1	PRL	1.0	DoRothEA-A;ExTRI;GOA;NTNU.Curated;TRRUST
POU1F1	PREB	1.0	ExTRI
PREB	POU1F1	1.0	ExTRI
POU1F1	PRKACA	1.0	ExTRI
PREB	PREB	1.0	ExTRI
STAT3	POMC	1.0	ExTRI;NTNU.Curated;SIGNOR
TP53	PTGS2	-1.0	ExTRI;NTNU.Curated
TBP	PTGS2	1.0	ExTRI;NTNU.Curated
TP53	TICAM2	1.0	ExTRI
TBP	RB1	1.0	ExTRI
PAX5	RB1	1.0	ExTRI;TRRUST
CREB1	CHGA	1.0	ExTRI;GEREDB;NTNU.Curated;SIGNOR
TFAP2A	ST3GAL4	1.0	ExTRI
SP1	CLCN2	1.0	ExTRI
SP3	CLCN2	1.0	ExTRI
CEBPG	NOS2	1.0	ExTRI;NTNU.Curated
CEBPB	NOS2	1.0	ExTRI
CEBPA	ALB	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
TP53	ALOX15	1.0	ExTRI
LITAF	TNF	1.0	ExTRI;NTNU.Curated
IRF1	IFNL3	1.0	CytReg;ExTRI
IRF2	IFNL3	1.0	ExTRI
IRF3	IFNL3	1.0	CytReg;ExTRI
RELA	IFNL3	1.0	CytReg;ExTRI
IRF2	IRF2	1.0	ExTRI
CREB1	CCND1	1.0	ExTRI;NTNU.Curated
STAT1	IFNG	1.0	CytReg;ExTRI;TRRUST
STAT6	IFNG	-1.0	CytReg;ExTRI;GEREDB
JUN	IL6	1.0	CytReg;ExTRI;NTNU.Curated;TFactS;TRRUST
EGR1	IL1B	1.0	ExTRI;GEREDB
EGR1	IL1A	1.0	ExTRI
HIF1A	EPO	1.0	DoRothEA-A;ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST
HLF	EPO	1.0	ExTRI
MYC	CDC25A	1.0	DoRothEA-A;ExTRI;SIGNOR
TFAP2A	NQO1	1.0	ExTRI;NTNU.Curated
FOS	TGFB1	1.0	CytReg;ExTRI
TP53	MMP1	-1.0	ExTRI;GEREDB;TRRUST
SPI1	REG1A	1.0	ExTRI
POU1F1	GHRHR	1.0	ExTRI;GEREDB
ARNT	EPO	1.0	DoRothEA-A;ExTRI;TRRUST
TP73	MDM2	1.0	ExTRI;TRRUST
TP73	TP53	1.0	ExTRI;GEREDB
TP53	TP73	1.0	DoRothEA-A;ExTRI;TFactS;TRRUST
MYC	EMP1	1.0	ExTRI;NTNU.Curated
ESR1	EMP1	1.0	ExTRI;NTNU.Curated
KLF11	HBG1	1.0	ExTRI;GEREDB;SIGNOR
KLF11	HBB	1.0	ExTRI
NFATC2	TAT	1.0	ExTRI
TCF4	SSTR2	1.0	ExTRI;NTNU.Curated;SIGNOR
HIVEP2	SSTR2	1.0	ExTRI;GOA;SIGNOR
ESR1	CRYAB	1.0	ExTRI
TP73	CDKN1A	1.0	DoRothEA-A;ExTRI;GOA;SIGNOR;TRRUST
E2F4	E2F1	-1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS
RUNX1	BCL2	1.0	ExTRI
POU1F1	TRHR	1.0	ExTRI
YY1	ACR	1.0	ExTRI;NTNU.Curated
CREM	FSHB	-1.0	ExTRI;GEREDB;NTNU.Curated
SP1	CDKN1A	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TFactS;TRRUST
GATA5	MYH7	1.0	ExTRI
GATA4	MYH7	1.0	ExTRI
GATA4	SLC8A1	1.0	ExTRI;GEREDB;NTNU.Curated
SRF	SLC8A1	1.0	ExTRI;GEREDB;NTNU.Curated
ELF1	IL5	1.0	ExTRI
ETS2	IL5	1.0	CytReg;ExTRI;GEREDB;TRRUST
GATA3	IL5	1.0	CytReg;DoRothEA-A;ExTRI;NTNU.Curated;TRRUST
ETS1	IL5	1.0	CytReg;ExTRI;GEREDB;NTNU.Curated;TRRUST
SP1	TGFB1	1.0	CytReg;DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TRRUST
TBP	CREBBP	1.0	ExTRI
MSX1	MSX1	-1.0	ExTRI;NTNU.Curated
RUNX2	RUNX2	1.0	ExTRI;NTNU.Curated;SIGNOR
OTX2	NCAM1	1.0	ExTRI
LHX2	PCYT1A	1.0	ExTRI
SP1	PCYT1A	1.0	ExTRI;NTNU.Curated;SIGNOR;TFactS
DDIT3	HSPA5	1.0	ExTRI
FOS	OXTR	1.0	ExTRI;NTNU.Curated;TRRUST
GABPA	OXTR	1.0	ExTRI;NTNU.Curated;TRRUST
JUN	OXTR	1.0	ExTRI;NTNU.Curated;TRRUST
TP53	NGF	1.0	ExTRI
REL	IL2RA	1.0	ExTRI;NTNU.Curated;TRRUST
FOS	AGTR2	1.0	ExTRI
HSF2	HSP90B2P	1.0	ExTRI
SP1	LDLR	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
YY1	LDLR	-1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
CEBPA	PCK1	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
WT1	CDKN1A	1.0	ExTRI;NTNU.Curated;TRRUST
VDR	RARB	1.0	ExTRI
HOXC8	SMAD1	1.0	ExTRI
HR	IGFBP1	1.0	ExTRI
ATF1	CAT	1.0	ExTRI;GEREDB
RELB	SRC	1.0	ExTRI
FOS	ERCC1	1.0	ExTRI
YY1	CXCR4	-1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
MYC	CXCR4	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
USF1	CXCR4	1.0	ExTRI;NTNU.Curated;TRRUST
CUX1	NOS2	1.0	ExTRI
CUX1	PI3	1.0	ExTRI
CREB1	ANG	1.0	ExTRI;NTNU.Curated
NR5A1	NR5A1	1.0	ExTRI
NR5A1	SF1	1.0	ExTRI
TP53	ITSN1	1.0	ExTRI
CEBPE	ELANE	1.0	ExTRI;GEREDB
DDIT3	EPO	1.0	ExTRI
NR5A1	LHB	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
NR0B1	LHB	-1.0	ExTRI;GEREDB
ATF2	TNF	1.0	CytReg;ExTRI;TRRUST
JUN	TNF	1.0	CytReg;ExTRI;NTNU.Curated;TFactS;TRRUST
GATA4	ADORA1	1.0	ExTRI;GEREDB;NTNU.Curated
NKX2-5	ADORA1	1.0	ExTRI;GEREDB;NTNU.Curated
AR	ACOT11	1.0	ExTRI
GATA4	ACOT11	1.0	ExTRI
GATA4	AR	1.0	ExTRI
NKX2-5	ACOT11	1.0	ExTRI
NKX2-5	AR	1.0	ExTRI
CEBPB	KRAS	1.0	ExTRI
YY1	HMGCS2	-1.0	ExTRI;NTNU.Curated
LEF1	CCND1	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST
PAX6	SST	1.0	ExTRI
CEBPB	STAR	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;SIGNOR;TRRUST
NR5A1	STAR	1.0	ExTRI;Pavlidis2021;SIGNOR;TFactS;TRRUST
POU1F1	FOS	1.0	ExTRI;NTNU.Curated
POU1F1	SSTR5	1.0	ExTRI
EGR1	CISH	1.0	ExTRI
NR5A1	RHD	1.0	ExTRI
SRF	FOS	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST
FOS	TF	1.0	ExTRI;GEREDB;NTNU.Curated
ID1	FOS	-1.0	ExTRI;NTNU.Curated
ZNF143	STUB1	1.0	ExTRI
MYC	CDKN1A	-1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
JUN	IL2	1.0	CytReg;DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
SOX9	MIA	1.0	ExTRI;NTNU.Curated;Pavlidis2021;TRRUST
IRF2	CDKN1A	1.0	ExTRI;NTNU.Curated
IRF1	IFNA1	1.0	CytReg;ExTRI;TRRUST
IRF2	IFNA1	1.0	ExTRI
IRF1	IRF2	1.0	ExTRI;NTNU.Curated;TRRUST
IRF2	IRF1	1.0	ExTRI
LITAF	MDM2	1.0	ExTRI
LITAF	MRPL41	1.0	ExTRI
LITAF	PIK3R1	1.0	ExTRI
TP53	LITAF	1.0	ExTRI;GEREDB;TFactS
LITAF	TP53	1.0	ExTRI
TP53	BTG2	1.0	DoRothEA-A;ExTRI;NTNU.Curated;TRRUST
TP53	GREM1	1.0	ExTRI;NTNU.Curated
TP53	MRPL41	1.0	ExTRI
TP53	PIK3R1	1.0	ExTRI
SP3	CDKN1A	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
TP53	PCNA	1.0	DoRothEA-A;ExTRI;HTRI;TFactS
STAT1	IFNB1	-1.0	CytReg;ExTRI;TRRUST
AR	AR	1.0	ExTRI;NTNU.Curated
JUN	ATF2	1.0	ExTRI
ATF2	JUN	1.0	ExTRI;NTNU.Curated;TRRUST
ATF2	TNFRSF11A	1.0	ExTRI
JUN	TNFRSF11A	1.0	ExTRI
YBX1	ERCC2	1.0	ExTRI
YBX1	ERCC3	1.0	ExTRI
YBX1	XRCC1	1.0	ExTRI
HSF1	CXCL8	1.0	CytReg;ExTRI
HSF1	ICAM1	1.0	ExTRI
HSF1	IL6	1.0	CytReg;ExTRI
HSF1	TNF	1.0	CytReg;ExTRI;GEREDB;NTNU.Curated;TRRUST
HSF1	IL1B	1.0	CytReg;ExTRI;GOA;TRRUST
PPARA	UCP3	1.0	ExTRI;NTNU.Curated
REL	JAG1	1.0	ExTRI;GEREDB;TFactS
RELA	JAG1	1.0	ExTRI;GEREDB;TFactS
HES1	FCER1G	1.0	ExTRI
EGR1	F3	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST
SRF	EGR1	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;Pavlidis2021
EGR1	SRF	1.0	ExTRI;NTNU.Curated
SP1	SP1	1.0	ExTRI;NTNU.Curated;TFactS
FOXE1	TPO	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
POU4F1	BCL2	1.0	ExTRI;GOA
NOTO	BTK	1.0	ExTRI
HNF4A	SERPINA1	1.0	ExTRI
HNF1A	SERPINA1	1.0	ExTRI;NTNU.Curated
HNF1B	SERPINA1	1.0	ExTRI
SOX9	EPYC	1.0	ExTRI;NTNU.Curated
SRF	SRF	1.0	ExTRI;NTNU.Curated
PAX3	FGF2	1.0	ExTRI
ID2	HBG1	1.0	ExTRI
JUN	CSF2	1.0	CytReg;DoRothEA-A;ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
NFATC2	CSF2	1.0	CytReg;ExTRI;GEREDB
VDR	CSF2	-1.0	ExTRI;GEREDB
MEF2A	JUN	1.0	DoRothEA-A;ExTRI;GEREDB;GOA;TRRUST
GATA6	NPPA	1.0	ExTRI
SP140	IFNG	1.0	ExTRI
RUNX2	MMP13	1.0	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
YBX1	MMP13	-1.0	DoRothEA-A;ExTRI;HTRI;SIGNOR;TRRUST
FLI1	EPO	1.0	ExTRI
FLI1	RB1	1.0	ExTRI
FLI1	CFC1	1.0	ExTRI
CEBPE	CEBPE	1.0	ExTRI
PDX1	CHKA	1.0	ExTRI
PDX1	INS	1.0	DoRothEA-A;ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS;TRRUST
HNF1A	HNF4A	1.0	DoRothEA-A;ExTRI;NTNU.Curated;TFactS
HNF4A	HNF1A	1.0	DoRothEA-A;ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
NR2F2	HNF1A	1.0	ExTRI;NTNU.Curated
HNF1A	INS	1.0	DoRothEA-A;ExTRI;NTNU.Curated;TFactS
NR1H4	CYP7A1	-1.0	ExTRI;GEREDB;TRRUST
ASCL1	NGF	1.0	ExTRI
HES1	NGF	1.0	ExTRI
